Active Day,Active Users
2020-04-24,473
2020-04-25,276
2020-04-26,248
2020-04-27,251
2020-04-28,284
2020-04-29,324
2020-04-30,249
2020-05-01,523
2020-05-02,429
2020-05-03,302
2020-05-04,237
2020-05-05,277
2020-05-06,455
2020-05-07,340
2020-05-08,488
2020-05-09,318
2020-05-10,306
2020-05-11,583
2020-05-12,597
2020-05-13,396
2020-05-14,361
2020-05-15,623
2020-05-16,432
2020-05-17,318
2020-05-18,364
2020-05-19,298
2020-05-20,311
2020-05-21,316
2020-05-22,441
2020-05-23,346
2020-05-24,316
2020-05-25,269
2020-05-26,338
2020-05-27,360
2020-05-28,280
2020-05-29,391
2020-05-30,431
2020-05-31,256
2020-06-01,255
2020-06-02,160
2020-06-03,256
2020-06-04,338
2020-06-05,339
2020-06-06,310
2020-06-07,293
2020-06-08,304
2020-06-09,318
2020-06-10,306
2020-06-11,322
2020-06-12,387
2020-06-13,296
2020-06-14,241
2020-06-15,276
2020-06-16,263
2020-06-17,254
2020-06-18,237
2020-06-19,447
2020-06-20,403
2020-06-21,417
2020-06-22,480
2020-06-23,381
2020-06-24,263
2020-06-25,279
2020-06-26,287
2020-06-27,268
2020-06-28,332
2020-06-29,221
2020-06-30,178
2020-07-01,139
2020-07-02,220
2020-07-03,285
2020-07-04,307
2020-07-05,247
2020-07-06,269
2020-07-07,225
2020-07-08,212
2020-07-09,195
2020-07-10,160
2020-07-11,155
2020-07-12,167
2020-07-13,166
2020-07-14,175
2020-07-15,142
2020-07-16,192
2020-07-17,243
2020-07-18,193
2020-07-19,159
2020-07-20,162
2020-07-21,244
2020-07-22,183
2020-07-23,211
2020-07-24,332
2020-07-25,189
2020-07-26,202
2020-07-27,180
2020-07-28,162
2020-07-29,211
2020-07-30,212
2020-07-31,151
2020-08-01,127
2020-08-02,142
2020-08-03,131
2020-08-04,153
2020-08-05,225
2020-08-06,265
2020-08-07,328
2020-08-08,428
2020-08-09,532
2020-08-10,306
2020-08-11,275
2020-08-12,257
2020-08-13,279
2020-08-14,295
2020-08-15,305
2020-08-16,240
2020-08-17,241
2020-08-18,228
2020-08-19,231
2020-08-20,233
2020-08-21,255
2020-08-22,369
2020-08-23,273
2020-08-24,271
2020-08-25,274
2020-08-26,244
2020-08-27,330
2020-08-28,434
2020-08-29,339
2020-08-30,273
2020-08-31,255
2020-09-01,246
2020-09-02,227
2020-09-03,234
2020-09-04,213
2020-09-05,209
2020-09-06,183
2020-09-07,189
2020-09-08,188
2020-09-09,202
2020-09-10,203
2020-09-11,216
2020-09-12,206
2020-09-13,158
2020-09-14,205
2020-09-15,187
2020-09-16,182
2020-09-17,193
2020-09-18,271
2020-09-19,197
2020-09-20,209
2020-09-21,207
2020-09-22,239
2020-09-23,291
2020-09-24,503
2020-09-25,529
2020-09-26,356
2020-09-27,249
2020-09-28,254
2020-09-29,328
2020-09-30,260
2020-10-01,259
2020-10-02,271
2020-10-03,266
2020-10-04,252
2020-10-05,297
2020-10-06,304
2020-10-07,275
2020-10-08,290
2020-10-09,336
2020-10-10,384
2020-10-11,359
2020-10-12,313
2020-10-13,577
2020-10-14,949
2020-10-15,579
2020-10-16,458
2020-10-17,403
2020-10-18,319
2020-10-19,318
2020-10-20,311
2020-10-21,305
2020-10-22,382
2020-10-23,377
2020-10-24,331
2020-10-25,287
2020-10-26,327
2020-10-27,636
2020-10-28,659
2020-10-29,629
2020-10-30,663
2020-10-31,685
2020-11-01,396
2020-11-02,281
2020-11-03,227
2020-11-04,215
2020-11-05,307
2020-11-06,421
2020-11-07,288
2020-11-08,297
2020-11-09,376
2020-11-10,444
2020-11-11,358
2020-11-12,417
2020-11-13,397
2020-11-14,369
2020-11-15,337
2020-11-16,404
2020-11-17,329
2020-11-18,321
2020-11-19,337
2020-11-20,368
2020-11-21,367
2020-11-22,337
2020-11-23,371
2020-11-24,344
2020-11-25,301
2020-11-26,262
2020-11-27,273
2020-11-28,270
2020-11-29,273
2020-11-30,219
2020-12-01,367
2020-12-02,379
2020-12-03,419
2020-12-04,524
2020-12-05,499
2020-12-06,380
2020-12-07,374
2020-12-08,406
2020-12-09,398
2020-12-10,329
2020-12-11,267
2020-12-12,305
2020-12-13,291
2020-12-14,398
2020-12-15,385
2020-12-16,352
2020-12-17,334
2020-12-18,399
2020-12-19,538
2020-12-20,618
2020-12-21,646
2020-12-22,611
2020-12-23,612
2020-12-24,501
2020-12-25,306
2020-12-26,314
2020-12-27,319
2020-12-28,399
2020-12-29,387
2020-12-30,479
2020-12-31,502
2021-01-01,329
2021-01-02,321
2021-01-03,351
2021-01-04,348
2021-01-05,331
2021-01-06,395
2021-01-07,431
2021-01-08,589
2021-01-09,480
2021-01-10,472
2021-01-11,365
2021-01-12,446
2021-01-13,439
2021-01-14,459
2021-01-15,422
2021-01-16,460
2021-01-17,399
2021-01-18,423
2021-01-19,507
2021-01-20,538
2021-01-21,517
2021-01-22,710
2021-01-23,1013
2021-01-24,932
2021-01-25,698
2021-01-26,705
2021-01-27,678
2021-01-28,669
2021-01-29,989
2021-01-30,1155
2021-01-31,1211
2021-02-01,958
2021-02-02,956
2021-02-03,979
2021-02-04,1080
2021-02-05,1233
2021-02-06,1068
2021-02-07,1230
2021-02-08,810
2021-02-09,912
2021-02-10,1019
2021-02-11,1086
2021-02-12,1046
2021-02-13,1289
2021-02-14,1214
2021-02-15,1090
2021-02-16,1139
2021-02-17,1273
2021-02-18,1343
2021-02-19,1243
2021-02-20,1803
2021-02-21,1614
2021-02-22,1293
2021-02-23,1143
2021-02-24,1164
2021-02-25,1414
2021-02-26,1139
2021-02-27,1167
2021-02-28,658
2021-03-01,1272
2021-03-02,1415
2021-03-03,1543
2021-03-04,1868
2021-03-05,1642
2021-03-06,1315
2021-03-07,1203
2021-03-08,1816
2021-03-09,3008
2021-03-10,2514
2021-03-11,2306
2021-03-12,2898
2021-03-13,4596
2021-03-14,4607
2021-03-15,4188
2021-03-16,3573
2021-03-17,3462
2021-03-18,3410
2021-03-19,3263
2021-03-20,3103
2021-03-21,3004
2021-03-22,2735
2021-03-23,2447
2021-03-24,2414
2021-03-25,2287
2021-03-26,2408
2021-03-27,2741
2021-03-28,2934
2021-03-29,2928
2021-03-30,3665
2021-03-31,3438
2021-04-01,2946
2021-04-02,2764
2021-04-03,3081
2021-04-04,2837
2021-04-05,2882
2021-04-06,105
2021-04-07,21
2021-04-08,1663
2021-04-09,2915
2021-04-10,2793
2021-04-11,2670
2021-04-12,2658
2021-04-13,2480
2021-04-14,2461
2021-04-15,2567
2021-04-16,2662
2021-04-17,2847
2021-04-18,2322
2021-04-19,2654
2021-04-20,2767
2021-04-21,2776
2021-04-22,2559
2021-04-23,2440
2021-04-24,2707
2021-04-25,2636
2021-04-26,2837
2021-04-27,3036
2021-04-28,4881
2021-04-29,3706
2021-04-30,3169
2021-05-01,3050
2021-05-02,2847
2021-05-03,3195
2021-05-04,3371
2021-05-05,3330
2021-05-06,3187
2021-05-07,3241
2021-05-08,3314
2021-05-09,2950
2021-05-10,3047
2021-05-11,2842
2021-05-12,2872
2021-05-13,2656
2021-05-14,2793
2021-05-15,2678
2021-05-16,2909
2021-05-17,2646
2021-05-18,2667
2021-05-19,2424
2021-05-20,2644
2021-05-21,2542
2021-05-22,2375
2021-05-23,2202
2021-05-24,2455
2021-05-25,2503
2021-05-26,2738
2021-05-27,2674
2021-05-28,2589
2021-05-29,2439
2021-05-30,2563
2021-05-31,2502
2021-06-01,2606
2021-06-02,2662
2021-06-03,2449
2021-06-04,2877
2021-06-05,2637
2021-06-06,2464
2021-06-07,2616
2021-06-08,2617
2021-06-09,2641
2021-06-10,2646
2021-06-11,2862
2021-06-12,2428
2021-06-13,2334
2021-06-14,3166
2021-06-15,4529
2021-06-16,3700
2021-06-17,3347
2021-06-18,3505
2021-06-19,3160
2021-06-20,2885
2021-06-21,3102
2021-06-22,3085
2021-06-23,3100
2021-06-24,3070
2021-06-25,3045
2021-06-26,2644
2021-06-27,2746
2021-06-28,2897
2021-06-29,2802
2021-06-30,2918
2021-07-01,2814
2021-07-02,2571
2021-07-03,2484
2021-07-04,2686
2021-07-05,3009
2021-07-06,3200
2021-07-07,3492
2021-07-08,3262
2021-07-09,2928
2021-07-10,2793
2021-07-11,2515
2021-07-12,2611
2021-07-13,2478
2021-07-14,2542
2021-07-15,2669
2021-07-16,3011
2021-07-17,2383
2021-07-18,2442
2021-07-19,2534
2021-07-20,2593
2021-07-21,2745
2021-07-22,2995
2021-07-23,2731
2021-07-24,3052
2021-07-25,3167
2021-07-26,3321
2021-07-27,3190
2021-07-28,3468
2021-07-29,3282
2021-07-30,3668
2021-07-31,3359
2021-08-01,3295
2021-08-02,3043
2021-08-03,3468
2021-08-04,3223
2021-08-05,3275
2021-08-06,3853
2021-08-07,3242
2021-08-08,2947
2021-08-09,3686
2021-08-10,3410
2021-08-11,3268
2021-08-12,3135
2021-08-13,3188
2021-08-14,3049
2021-08-15,2923
2021-08-16,3090
2021-08-17,3047
2021-08-18,3080
2021-08-19,3239
2021-08-20,3188
2021-08-21,3052
2021-08-22,2919
2021-08-23,3257
2021-08-24,3101
2021-08-25,3401
2021-08-26,3214
2021-08-27,3278
2021-08-28,3070
2021-08-29,2977
2021-08-30,3507
2021-08-31,3573
2021-09-01,3612
2021-09-02,5558
2021-09-03,10666
2021-09-04,6372
2021-09-05,5743
2021-09-06,4508
2021-09-07,4621
2021-09-08,3924
2021-09-09,4681
2021-09-10,3735
2021-09-11,3299
2021-09-12,3176
2021-09-13,3480
2021-09-14,4216
2021-09-15,4233
2021-09-16,3803
2021-09-17,3750
2021-09-18,3365
2021-09-19,3265
2021-09-20,4102
2021-09-21,3154
2021-09-22,2890
2021-09-23,2750
2021-09-24,2683
2021-09-25,2693
2021-09-26,2270
2021-09-27,2261
2021-09-28,2860
2021-09-29,2704
2021-09-30,2793
2021-10-01,2716
2021-10-02,2758
2021-10-03,2657
2021-10-04,2984
2021-10-05,2642
2021-10-06,2633
2021-10-07,2775
2021-10-08,2818
2021-10-09,3562
2021-10-10,2957
2021-10-11,2659
2021-10-12,2689
2021-10-13,2915
2021-10-14,3284
2021-10-15,2930
2021-10-16,2686
2021-10-17,3020
2021-10-18,3831
2021-10-19,4172
2021-10-20,3802
2021-10-21,5992
2021-10-22,6375
2021-10-23,5417
2021-10-24,6378
2021-10-25,5493
2021-10-26,3838
2021-10-27,3726
2021-10-28,4461
2021-10-29,8167
2021-10-30,12472
2021-10-31,16430
2021-11-01,13909
2021-11-02,13913
2021-11-03,11668
2021-11-04,10173
2021-11-05,9427
2021-11-06,9943
2021-11-07,9556
2021-11-08,10154
2021-11-09,11623
2021-11-10,10620
2021-11-11,11517
2021-11-12,13262
2021-11-13,14347
2021-11-14,13623
2021-11-15,13251
2021-11-16,12966
2021-11-17,12838
2021-11-18,15757
2021-11-19,15689
2021-11-20,13868
2021-11-21,13173
2021-11-22,12943
2021-11-23,14484
2021-11-24,19649
2021-11-25,22806
2021-11-26,21535
2021-11-27,19947
2021-11-28,21822
2021-11-29,24373
2021-11-30,24093
2021-12-01,23576
2021-12-02,21990
2021-12-03,20364
2021-12-04,18798
2021-12-05,18479
2021-12-06,18812
2021-12-07,18598
2021-12-08,19942
2021-12-09,19674
2021-12-10,19375
2021-12-11,18695
2021-12-12,18760
2021-12-13,19135
2021-12-14,20601
2021-12-15,19713
2021-12-16,19176
2021-12-17,18078
2021-12-18,17080
2021-12-19,17318
2021-12-20,19459
2021-12-21,22390
2021-12-22,20042
2021-12-23,19253
2021-12-24,17875
2021-12-25,16774
2021-12-26,17716
2021-12-27,18868
2021-12-28,18881
2021-12-29,20794
2021-12-30,21016
2021-12-31,19446
2022-01-01,19708
2022-01-02,19350
2022-01-03,19029
2022-01-04,19160
2022-01-05,18652
2022-01-06,27166
2022-01-07,42906
2022-01-08,26243
2022-01-09,24722
2022-01-10,22959
2022-01-11,21998
2022-01-12,20463
2022-01-13,20818
2022-01-14,20283
2022-01-15,19169
2022-01-16,18923
2022-01-17,22428
2022-01-18,21739
2022-01-19,21356
2022-01-20,20856
2022-01-21,20292
2022-01-22,18638
2022-01-23,18471
2022-01-24,17860
2022-01-25,18741
2022-01-26,18368
2022-01-27,18394
2022-01-28,18236
2022-01-29,18226
2022-01-30,17951
2022-01-31,17887
2022-02-01,17552
2022-02-02,18533
2022-02-03,18103
2022-02-04,18998
2022-02-05,18537
2022-02-06,17972
2022-02-07,18777
2022-02-08,20601
2022-02-09,26181
2022-02-10,23770
2022-02-11,21100
2022-02-12,19147
2022-02-13,19741
2022-02-14,20620
2022-02-15,20248
2022-02-16,22994
2022-02-17,22626
2022-02-18,21545
2022-02-19,19025
2022-02-20,19734
2022-02-21,20647
2022-02-22,19687
2022-02-23,18840
2022-02-24,16529
2022-02-25,16001
2022-02-26,14979
2022-02-27,15005
2022-02-28,14485
2022-03-01,15276
2022-03-02,15596
2022-03-03,15760
2022-03-04,14604
2022-03-05,13838
2022-03-06,13910
2022-03-07,13962
2022-03-08,14224
2022-03-09,14768
2022-03-10,15032
2022-03-11,13544
2022-03-12,13086
2022-03-13,13008
2022-03-14,12994
2022-03-15,15064
2022-03-16,13777
2022-03-17,17386
2022-03-18,15442
2022-03-19,13688
2022-03-20,13891
2022-03-21,13915
2022-03-22,15897
2022-03-23,16199
2022-03-24,23529
2022-03-25,21920
2022-03-26,18257
2022-03-27,17227
2022-03-28,16217
2022-03-29,15781
2022-03-30,16333
2022-03-31,14226
2022-04-01,14322
2022-04-02,13715
2022-04-03,13789
2022-04-04,14342
2022-04-05,15014
2022-04-06,15041
2022-04-07,14583
2022-04-08,15496
2022-04-09,14100
2022-04-10,14395
2022-04-11,15023
2022-04-12,17082
2022-04-13,15263
2022-04-14,16272
2022-04-15,14380
2022-04-16,13305
2022-04-17,13539
2022-04-18,14071
2022-04-19,13968
2022-04-20,14378
2022-04-21,14001
2022-04-22,14840
2022-04-23,13487
2022-04-24,12398
2022-04-25,13271
2022-04-26,13418
2022-04-27,13603
2022-04-28,13397
2022-04-29,13878
2022-04-30,12464
2022-05-01,11949
2022-05-02,11867
2022-05-03,12412
2022-05-04,12377
2022-05-05,12170
2022-05-06,12367
2022-05-07,11515
2022-05-08,11665
2022-05-09,12141
2022-05-10,12121
2022-05-11,11288
2022-05-12,10397
2022-05-13,10141
2022-05-14,9757
2022-05-15,9101
2022-05-16,9616
2022-05-17,10312
2022-05-18,11491
2022-05-19,10259
2022-05-20,10348
2022-05-21,9375
2022-05-22,8644
2022-05-23,9648
2022-05-24,10266
2022-05-25,10169
2022-05-26,9507
2022-05-27,9012
2022-05-28,8264
2022-05-29,7958
2022-05-30,8249
2022-05-31,8885
2022-06-01,8935
2022-06-02,10201
2022-06-03,8270
2022-06-04,7607
2022-06-05,7483
2022-06-06,7816
2022-06-07,8225
2022-06-08,8215
2022-06-09,8480
2022-06-10,8199
2022-06-11,7542
2022-06-12,7857
2022-06-13,8856
2022-06-14,8346
2022-06-15,8153
2022-06-16,7892
2022-06-17,7778
2022-06-18,6917
2022-06-19,7295
2022-06-20,8288
2022-06-21,8121
2022-06-22,8480
2022-06-23,8293
2022-06-24,7929
2022-06-25,6977
2022-06-26,6523
2022-06-27,7332
2022-06-28,7331
2022-06-29,7855
2022-06-30,7664
2022-07-01,7671
2022-07-02,6479
2022-07-03,6845
2022-07-04,7393
2022-07-05,8013
2022-07-06,6885
2022-07-07,7139
2022-07-08,6935
2022-07-09,6362
2022-07-10,6215
2022-07-11,6977
2022-07-12,6896
2022-07-13,6933
2022-07-14,7566
2022-07-15,7203
2022-07-16,6718
2022-07-17,6258
2022-07-18,7058
2022-07-19,6933
2022-07-20,6870
2022-07-21,6803
2022-07-22,6812
2022-07-23,6278
2022-07-24,6231
2022-07-25,7045
2022-07-26,7476
2022-07-27,6920
2022-07-28,6707
2022-07-29,6695
2022-07-30,6159
2022-07-31,5719
2022-08-01,6262
2022-08-02,6866
2022-08-03,6717
2022-08-04,6789
2022-08-05,6686
2022-08-06,5988
2022-08-07,5647
2022-08-08,6486
2022-08-09,6656
2022-08-10,6794
2022-08-11,6793
2022-08-12,6514
2022-08-13,5923
2022-08-14,5667
2022-08-15,5962
2022-08-16,6266
2022-08-17,6522
2022-08-18,6764
2022-08-19,6341
2022-08-20,5629
2022-08-21,5249
2022-08-22,5951
2022-08-23,6162
2022-08-24,6300
2022-08-25,6193
2022-08-26,6021
2022-08-27,5454
2022-08-28,5100
2022-08-29,5553
2022-08-30,5569
2022-08-31,5792
2022-09-01,6383
2022-09-02,7573
2022-09-03,6238
2022-09-04,4787
2022-09-05,5408
2022-09-06,5865
2022-09-07,5591
2022-09-08,6269
2022-09-09,5259
2022-09-10,4612
2022-09-11,4558
2022-09-12,5141
2022-09-13,5393
2022-09-14,5303
2022-09-15,5283
2022-09-16,5239
2022-09-17,4667
2022-09-18,4724
2022-09-19,5153
2022-09-20,5399
2022-09-21,5396
2022-09-22,5510
2022-09-23,5597
2022-09-24,4499
2022-09-25,4306
2022-09-26,5595
2022-09-27,5433
2022-09-28,5371
2022-09-29,5239
2022-09-30,5006
2022-10-01,4169
2022-10-02,3998
2022-10-03,4655
2022-10-04,4915
2022-10-05,4727
